	Domain	Phylum	Class	Order	Family	Genus	Species	RandomForestExp	RandomForestPrefer	pH	SOC	TN	MAT	MaxTWarmM	MAP	PWetM	NDVI	ClusterNames
OTU_725	Bacteria	MBNT15	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	52.82543979	PDryM		0.183430774							High SOC
OTU_727	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	Unclassified	metagenome	42.77687878	pH	-0.270888487								Low pH
OTU_729	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales	Unclassified	Unclassified	Unclassified	77.05936417	STAR	0.312639106	-0.134227066							High pH
OTU_7297	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	Unclassified	Unclassified	9.410473378	NDVI									
OTU_73	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	59.35979101	STAR								0.237423106	High NDVI
OTU_731	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	metagenome	66.59096079	pH			-0.154969556						
OTU_7386	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter	Unclassified	31.50936997	MAP	-0.197296396			0.157108795	-0.152247744		0.166034963		Low pH high SOC
OTU_739	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Unclassified	Unclassified	66.29471073	STempSeason	-0.233092038			0.264069301	-0.221134457	-0.172383785	0.226822159		Low pH high SOC
OTU_74	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas frederiksbergensis	-4.590692049	Isothermality	-0.354820978			-0.151148776		0.193055464	-0.196550234		Low pH low MAT
OTU_7407	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	Unclassified	46.14909113	pH	-0.208846241								Low pH
OTU_741	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	Unclassified	45.85024534	pH	0.33025209	-0.187543761	0.204608337	-0.133651903			-0.15207246		High pH and TN with low SOC
OTU_742	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Unclassified	Unclassified	54.12729709	pH	0.246062539	-0.242675638	0.154327821						High pH and TN with low SOC
OTU_74264	Bacteria	Acidobacteriota	Subgroup 5	Unclassified	Unclassified	Unclassified	Unclassified	73.48635926	SOC	-0.241169678								Low pH
OTU_7428	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	Burkholderia pseudomallei	33.35905219	SOC									
OTU_744	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Lysobacter dokdonensis	47.63123925	pH									
OTU_745	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Pseudarthrobacter	Arthrobacter sp. YN	38.88100093	SOC						-0.221411827	0.288957292		High PWetM
OTU_75	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Unclassified	Unclassified	47.96980329	MDR				0.250000231	-0.137839581		0.154200927		
OTU_750	Bacteria	Chloroflexi	TK10	Unclassified	Unclassified	Unclassified	Unclassified	34.23138636	SOC			0.134870189					0.17356971	High NDVI
OTU_752	Bacteria	Chloroflexi	KD4-96	Unclassified	Unclassified	Unclassified	Unclassified	37.80240654	NDVI				0.150834396		-0.180911083		0.140702646	High NDVI
OTU_7523	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Unclassified	2.232224354	pH									
OTU_753	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	Unclassified	37.72322697	pH	0.293310883		0.143884213			-0.175712103	0.184613769		High pH
OTU_7559	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	Unclassified	66.49297771	MAP	-0.139653238								Low pH
OTU_76	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	actinobacterium WWH12	47.7181239	SOC		-0.297288107	0.18408932					0.205082649	Low SOC
